answer	clue
ACANTHOTIC	of or relating to or having acanthosis
ACANTHOUS	shaped like a spine or thorn
ACANTHURIDAE	surgeonfishes
ACANTHURUS	type genus of the Acanthuridae: doctorfishes
ACANTHURUSCHIRURGUS	surgeon fish of the West Indies
ACANTHUSFAMILY	widely distributed herbs and shrubs and trees; sometimes placed in the order Scrophulariales
ACANTHUSMOLLIS	widely cultivated southern European acanthus with whitish purple-veined flowers
ACAPELLA	without musical accompaniment
ACAPELLASINGING	singing without instrumental accompaniment
ACAPNIAL	relating to or demonstrating acapnia
ACAPNIC	relating to or demonstrating acapnia
ACAPNOTIC	relating to or demonstrating acapnia
ACAPPELLA	without musical accompaniment
ACAPPELLASINGING	singing without instrumental accompaniment
ACAPULCOGOLD	a particularly potent variety of marijuana
ACARACIDE	a chemical agent used to kill mites
ACARDIA	congenital absence of the heart (as in the development of some monsters)
ACARIASIS	infestation with itch mites
ACARICIDE	a chemical agent used to kill mites
ACARID	very small free-living arachnid that is parasitic on animals or plants; related to ticks
ACARIDAE	mites, including some mole mites (e.g. the grain mite) (Acaridae)
ACARIDIASIS	infestation with itch mites
ACARINA	mites and ticks
ACARINE	mite or tick
ACARIOSIS	infestation with itch mites
ACAROIDRESIN	an alcohol-soluble resin from Australian trees; used in varnishes and in manufacturing paper
ACAROPHOBIA	a morbid fear of small insects and mites and worms
ACARPELLOUS	having no carpels
ACARPELOUS	having no carpels
ACARPOUS	producing no fruit
ACARUS	any of several mites of the order Acarina
ACARYOTE	a cell without a nucleus (as an erythrocyte)
ACATALECTIC	(verse) metrically complete; especially having the full number of syllables in the final metrical foot
ACATHEXIA	an inability to retain bodily secretions
ACAUDAL	lacking a tail or taillike appendage
ACAUDATE	lacking a tail or taillike appendage
ACAULESCENT	(of plants) having no apparent stem above ground
ACCAROIDRESIN	an alcohol-soluble resin from Australian trees; used in varnishes and in manufacturing paper
ACCEDE	to agree or express agreement
ACCELERANDO	with increasing speed
ACCELERATE	move faster
ACCELERATED	speeded up, as of an academic course
ACCELERATION	the act of accelerating; increasing the speed
ACCELERATIONUNIT	a unit for measuring acceleration
ACCELERATIVE	tending to increase velocity
ACCELERATOR	a valve that regulates the supply of fuel to the engine
ACCELERATORFACTOR	a coagulation factor
ACCELERATORPEDAL	a pedal that controls the throttle valve
ACCELERATORY	tending to increase velocity
ACCELEROMETER	an instrument for measuring the acceleration of aircraft or rockets
ACCENT	put stress on; utter with an accent
ACCENTED	bearing a stress or accent
ACCENTING	the act of giving special importance or significance to something
ACCENTMARK	a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation
ACCENTOR	small sparrow-like songbird of mountainous regions of Eurasia
ACCENTUAL	(of verse) having a metric system based on stress rather than syllables or quantity
ACCENTUALSYSTEM	the system of accentuation used in a particular language
ACCENTUATE	put stress on; utter with an accent
ACCENTUATION	the act of giving special importance or significance to something
ACCEPT	tolerate or accommodate oneself to
ACCEPTABILITY	satisfactoriness by virtue of conforming to approved standards
ACCEPTABLE	worthy of acceptance or satisfactory
ACCEPTABLENESS	satisfactoriness by virtue of conforming to approved standards
ACCEPTABLY	in an acceptable (but not outstanding) manner
ACCEPTANCE	the act of taking something that is offered
ACCEPTANT	accepting willingly
ACCEPTATION	the act of accepting with approval; favorable reception
ACCEPTED	generally approved or compelling recognition
ACCEPTING	tolerating without protest
ACCEPTIVE	inclined to accept rather than reject
ACCEPTOR	(chemistry) in the formation of a coordinate bond it is the compound to which electrons are donated
ACCESS	the act of approaching or entering
ACCESSARY	aiding and abetting in a crime
ACCESSIBILITY	the attribute of being easy to meet or deal with
ACCESSIBLE	capable of being reached
ACCESSION	the act of attaining or gaining access to a new office or right or position (especially the throne)
ACCESSIONAL	of or constituting an accession
ACCESSORIAL	nonessential but helpful
ACCESSORY	furnishing added support
ACCESSORYCEPHALICVEIN	a vein that passes along the radial edge of the forearm and joins the cephalic vein near the elbow
ACCESSORYDURINGTHEFACT	a person who witnesses a crime but does not try to prevent it
ACCESSORYFRUIT	fruit containing much fleshy tissue besides that of the ripened ovary; as apple or strawberry
ACCESSORYHEMIAZYGOSVEIN	a vein formed by the union of the 4th to 7th posterior intercostal veins; empties into the azygos vein
ACCESSORYHEMIAZYGOUSVEIN	a vein formed by the union of the 4th to 7th posterior intercostal veins; empties into the azygos vein
ACCESSORYNERVE	arises from two sets of roots (cranial and spinal) that unite to form the nerve
ACCESSROAD	a short road giving access to an expressway
ACCESSTOKEN	a security credential used for digital authentication
ACCHO	a town and port in northwestern Israel in the eastern Mediterranean
ACCIACCATURA	an embellishing note usually written in smaller size
ACCIDENCE	the part of grammar that deals with the inflections of words
ACCIDENT	anything that happens suddenly or by chance without an apparent cause
ACCIDENTAL	not of prime or central importance
ACCIDENTALINJURY	an accident that results in physical damage or hurt
ACCIDENTALLY	without advance planning
ACCIDENTPRONE	having more than the average number of accidents
ACCIDENTSURGERY	the branch of medicine that deals with the surgical repair of injuries and wounds arising from accidents
ACCIPITER	type genus of the family Accipitridae
ACCIPITERCOOPERII	bluish-grey North American hawk having a darting flight
ACCIPITERGENTILIS	large hawk of Eurasia and North America used in falconry
ACCIPITERNISUS	small hawk of Eurasia and northern Africa
ACCIPITRIDAE	hawks, Old World vultures, kites, harriers, eagles
ACCIPITRIFORMES	in some classifications an alternative name for the Falconiformes
ACCIPITRINE	of or relating to or belonging to the genus Accipiter (or to typical hawks)
ACCLAIM	praise vociferously
ACCLAMATION	enthusiastic approval
ACCLIMATE	get used to a certain climate
ACCLIMATION	adaptation to a new climate (a new temperature or altitude or environment)
ACCLIMATISATION	adaptation to a new climate (a new temperature or altitude or environment)
ACCLIMATISE	get used to a certain climate
ACCLIMATIZATION	adaptation to a new climate (a new temperature or altitude or environment)
ACCLIMATIZE	get used to a certain climate
ACCLIVITOUS	sloping upward
ACCLIVITY	an upward slope or grade (as in a road)
ACCOLADE	a tangible symbol signifying approval or distinction
ACCOMMODATE	make fit for, or change to suit a new purpose
ACCOMMODATING	helpful in bringing about a harmonious adaptation
ACCOMMODATINGLY	in accommodation
ACCOMMODATION	(physiology) the automatic adjustment in focal length of the natural lens of the eye
ACCOMMODATIONAL	of or relating to the accommodation of the lens of the eye
ACCOMMODATIONENDORSER	a person who endorses a promissory note without compensation or benefit but simply as a favor to the borrower
ACCOMMODATIONLADDER	(nautical) a portable ladder hung over the side of a vessel to give access to small boats alongside
ACCOMMODATIONREFLEX	reflex changes in the eyes that enable an object to be focused on the retina
ACCOMMODATIVE	helpful in bringing about a harmonious adaptation
ACCOMMODATOR	someone who performs a service or does a favor
ACCOMPANIED	having companions or an escort
ACCOMPANIMENT	the act of accompanying someone or something in order to protect them
ACCOMPANIST	a person who provides musical accompaniment (usually on a piano)
ACCOMPANY	perform an accompaniment to
ACCOMPANYING	occurring with or following as a consequence
ACCOMPANYIST	a person who provides musical accompaniment (usually on a piano)
ACCOMPLICE	a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
ACCOMPLISH	put in effect
ACCOMPLISHABLE	capable of existing or taking place or proving true; possible to do
ACCOMPLISHED	successfully completed or brought to an end
ACCOMPLISHEDFACT	an irreversible accomplishment
ACCOMPLISHMENT	the action of accomplishing something
ACCORD	allow to have
ACCORDANCE	the act of granting rights
ACCORDANCEOFRIGHTS	the act of granting rights
ACCORDANDSATISFACTION	the settlement of a debt by paying less than the amount demanded in exchange for extinguishing the debt
ACCORDANT	being in agreement or harmony; often followed by ‘with’
ACCORDING	(followed by ‘to’) as reported or stated by
ACCORDINGLY	(sentence connectors) because of the reason given
ACCORDIONDOOR	an interior door that opens by folding back in sections (rather than by swinging on hinges)
ACCORDIONIST	a musician who plays the accordion
ACCOST	approach with an offer of sexual favors
ACCOUCHEMENT	the parturition process in human beings; having a baby; the process of giving birth to a child
ACCOUCHEUR	a physician specializing in obstetrics
ACCOUCHEUSE	a woman skilled in aiding the delivery of babies
ACCOUNT	furnish a justifying analysis or explanation
ACCOUNTABILITY	responsibility to someone or for some activity
ACCOUNTABLE	liable to account for one's actions
ACCOUNTANCY	the occupation of maintaining and auditing records and preparing financial reports for a business
ACCOUNTANT	someone who maintains and audits business accounts
ACCOUNTANTSHIP	the position of accountant
ACCOUNTBOOK	a record in which commercial accounts are recorded
ACCOUNTEXECUTIVE	someone in charge of a client's account for an advertising agency or brokerage or other service business
ACCOUNTFOR	give reasons for
ACCOUNTING	the occupation of maintaining and auditing records and preparing financial reports for a business
ACCOUNTINGENTRY	a written record of a commercial transaction
ACCOUNTINGFIRM	a firm of accountants who provide accounting and auditing services for a fee
ACCOUNTINGRATIO	a relative magnitude of two selected numerical values taken from an enterprise's financial statements.
ACCOUNTPAYABLE	a liability account showing how much is owed for goods and services purchased on credit
ACCOUNTREPRESENTATIVE	someone in charge of a client's account for an advertising agency or brokerage or other service business
ACCOUNTSPAYABLE	a debtor's accounts of money they owe; normally arise from the purchase of products or services
ACCOUNTSRECEIVABLE	a creditor's accounts of money owed to them; normally arise from the sale of products or services
ACCOUNTSTATEMENT	a statement of recent transactions and the resulting balance
ACCOUTER	provide with military equipment
ACCOUTERED	provided with necessary articles of equipment for a specialized purpose (especially military)
ACCOUTERMENT	clothing that is worn or carried, but not part of your main clothing
ACCOUTRE	provide with military equipment
ACCOUTRED	provided with necessary articles of equipment for a specialized purpose (especially military)
ACCOUTREMENT	clothing that is worn or carried, but not part of your main clothing
ACCRA	the capital and largest city of Ghana with a deep-water port
ACCREDIT	ascribe an achievement to
ACCREDITED	given official approval to act
ACCRETE	grow or become attached by accretion
ACCRETION	an increase by natural growth or addition
ACCRETIONARY	marked or produced by accretion
ACCRETIVE	growing by accretion
ACCROIDES	an alcohol-soluble resin from Australian trees; used in varnishes and in manufacturing paper
